Issue ID	Title	Status	Assignee	Labels	Last Sync	Link	analysis	effort_level	reasoning	recommended_implementation
25638	![high](https://www.gstatic.com/codereviewagent/high-priority.svg)	open			2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25638	Optimize retrieval of machine hostname by moving `os.hostname()` from the `Footer` component render cycle to a module-level constant.	small	This is a highly localized static refactoring task that involves moving a single system call to a module-level constant in one file. It fits the criteria for a small effort level as it is a trivial optimization with no complex logic or state management involved.	In `Footer.tsx`, import `os` from `node:os`. Move `os.hostname()` to a `const HOSTNAME = os.hostname();` declaration outside the component function.
25573	Support boolean types when configuring `settings.json` via environment variables	OPEN		area/core, help wanted, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25573	Allow environment variables like `${GEMINI_AUTO_THEME:-true}` to be correctly cast to boolean types during settings validation.	small	The fix is highly localized to the settings-validation.ts file. It requires a simple modification to the buildZodSchemaFromJsonSchema function to add a Zod preprocessor for boolean types, casting the strings 'true' and 'false' to actual booleans. This falls under the criteria of casting/formatting simple data types and localized fixes with a clear root cause.	In `packages/cli/src/config/settings-validation.ts`, update the boolean schema definitions to use `z.preprocess()` which converts strings `'true'` or `'false'` into actual boolean values.
25571	feat: add machine hostname to CLI interface	OPEN		area/core, help wanted, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25571	Retrieve and display the machine's hostname in the CLI interface (header or footer).	small	Retrieving the machine hostname via Node.js 'os.hostname()' and displaying it within an existing Ink component like AppHeader or Footer is a localized UI adjustment with trivial logic, requiring minimal changes to 1-2 files.	Import `os` in `packages/cli/src/ui/components/AppHeader.tsx`. In `renderMetadata`, add a new `<Text>` component that displays the hostname retrieved via `os.hostname()`.
25494	[Voice] Cursor-Aware Insertion	OPEN		area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25494	Splice transcribed voice text at the current cursor position in the input buffer instead of appending it.	large	While the logic to splice a string at a specific index is simple, the previous analysis indicates that the entire Voice Mode transcription pipeline and WhisperModelManager are currently missing from the codebase. Implementing this feature requires the foundational voice infrastructure, which falls under the 'Major Subsystems' category for Large effort.	
25496	[Voice] Whisper Model Mirroring	OPEN		area/core, area/platform, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25496	Mirror Whisper model weights to internal storage (GCS) and update the manager to download from the new locations.	medium	The task requires infrastructure setup (GCS bucket) and security evaluation for hosting model weights, which falls under service integration. While the code change to update URLs is simple, the requirement to evaluate and implement secure hosting for large binary assets, combined with the fact that the target subsystem (Voice) is currently being integrated, places this in the 1-3 day range.	
25493	[Voice] Dynamic Visual Feedback (Audio Wave)	OPEN		area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25493	Implement a dynamic ASCII/Unicode audio wave animation to replace the static 'Listening...' text during voice recording.	medium	Implementing a dynamic ASCII animation in Ink requires managing React state and effects to handle the animation loop, as well as synchronizing the UI state with the underlying audio recording lifecycle. This involves logic tracing and integration within the CLI's UI components, fitting the Medium effort criteria for React/Ink state management and UI synchronization.	
25490	[Voice] Optimize Screen Real Estate (Banner)	OPEN		area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25490	Modify the Voice mode banner ('> Voice mode: Hold Space to record (Esc to exit)') to be transient or removable to save screen real estate.	small	The task is a localized UI/Aesthetic adjustment focused on modifying or removing a specific Ink component (the Voice banner). It involves minor changes to the UI layout and potentially simple state management for transience (e.g., a timer or visibility toggle), which falls under the criteria for a small effort level (<= 1 day).	In the Voice mode UI component, introduce a 'visible' state initialized to true and use a useEffect hook with a setTimeout to set it to false after 5 seconds. Conditionally render the banner text based on this state to make the instructions transient rather than persistent.
25491	[Voice] Privacy & Compliance UX Warning	OPEN		area/core, area/security, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25491	Add a privacy and compliance UX warning detailing data flow when the Gemini Live backend is enabled for voice.	medium	Implementing a privacy and compliance warning requires defining new configuration keys in the settings schema and adding logic to the CLI's UI (Ink components) to trigger a notice. Since the requirement includes showing the warning 'upon first enabling,' it involves state management to track user acknowledgement or the initial toggle event, which fits the criteria for logic tracing and UI state synchronization.	
25492	[Voice] Enhance `/voice-model` Menu Navigation	OPEN		area/core, 🔒 maintainer only, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25492	Update the `/voice-model` selection menu so that pressing `Return` selects the model and automatically closes the dialog.	small	The task involves a localized UI/UX refinement within a single Ink component (VoiceModelDialog). It requires updating the 'Return' key event handler to trigger the dialog's dismissal logic immediately after selection. This is a trivial logic adjustment that does not involve complex state synchronization or architectural changes, fitting the criteria for a Small effort level.	In `VoiceModelDialog.tsx`, update the `handleSelect` callback to invoke the `onClose` function immediately after the model selection logic is executed.
25478	Feature Request: Universal RTL and BiDi Support for Terminal Rendering	OPEN		area/core, help wanted, type/feature	2026-04-21	https://github.com/google-gemini/gemini-cli/issues/25478	Implement a bidirectional (BiDi) and RTL text rendering engine for the CLI that preserves ANSI escape codes and ensures precise line wrapping.	large	Implementing a comprehensive BiDi and RTL engine for a terminal environment is a major subsystem task. It requires complex algorithmic logic to handle the Unicode Bidirectional Algorithm (UBA) while preserving ANSI escape sequences for styling. Integrating this into the existing Ink-based rendering pipeline, ensuring correct line-wrapping without vertical displacement, and managing cross-platform terminal inconsistencies constitutes significant architectural complexity.	
